DrugName	PSS
Eptifibatide	44.233114515885084
Pegademase bovine	43.95917855006419
Osimertinib	42.04405599136457
Panitumumab	42.04405599136457
Necitumumab	42.04405599136457
Gefitinib	42.04405599136457
Tirofiban	41.28932109508034
Ruxolitinib	40.936168983196886
Urea	38.61501066216152
Tofacitinib	38.26642413430024
Lapatinib	35.884400609643535
Nilotinib	34.78467122282308
Pregabalin	33.72957951134082
Alpha-Linolenic Acid	33.31788880928058
Ingenol Mebutate	33.315997171537866
Plerixafor	33.00423439651354
Framycetin	33.00423439651354
Sonidegib	31.475070733836933
Vismodegib	31.475070733836933
Afatinib	31.283799944633053
Dasatinib	30.660722915883877
Insulin Glargine	30.286227733482423
Insulin Lispro	30.286227733482423
Tranexamic Acid	30.265806766996295
Insulin Glulisine	30.26135376129274
Insulin, isophane	30.26135376129274
Insulin Detemir	30.26135376129274
Insulin Aspart	30.26135376129274
Cobimetinib	30.24271287911293
Clevidipine	29.982648468663793
Pertuzumab	29.72474566391581
ado-trastuzumab emtansine	29.72474566391581
Nintedanib	29.605538377435668
Trametinib	29.375388568900167
Temsirolimus	28.502980932861856
Everolimus	28.502980932861856
Dienestrol	27.699409018851917
Mestranol	27.699409018851917
Clomifene	27.699409018851917
Bazedoxifene	27.699409018851917
Conjugated Estrogens	27.699409018851917
Estrone	27.699409018851917
Fulvestrant	27.699409018851917
Ospemifene	27.699409018851917
Toremifene	27.699409018851917
Quinestrol	27.699409018851917
Nisoldipine	27.633851968464217
Isoprenaline	26.909150722145654
Nilvadipine	26.76480114893167
Pegaptanib	26.17316673151062
Ponatinib	26.163948434160453
Arsenic trioxide	25.539240562960263
Magnesium Sulfate	25.22886321046554
Lenvatinib	24.86357257074528
Metformin	24.598880843674838
Vemurafenib	24.50990518419681
Ethynodiol	24.477586214675
Etonogestrel	24.477586214675
Medroxyprogesterone Acetate	24.477586214675
Desogestrel	24.477586214675
Norgestimate	24.477586214675
Allylestrenol	24.477586214675
Sunitinib	24.224221645963993
Axitinib	24.173973557736144
Regorafenib	24.12614270916219
Ramucirumab	23.8970321047024
Bosutinib	23.746453782436365
Imatinib	23.700054843834966
Potassium	23.58697893716153
Ciclopirox	23.58697893716153
Deslanoside	23.58697893716153
Digitoxin	23.58697893716153
Bretylium	23.58697893716153
Digoxin	23.58697893716153
Ethacrynic acid	23.58697893716153
Ouabain	23.58697893716153
Acetyldigitoxin	23.58697893716153
Almitrine	23.58697893716153
Isradipine	23.494522728938474
Nifedipine	23.43993247556328
Nitrendipine	23.360150769229787
Ibrutinib	23.278566028828624
Eculizumab	23.252193113463555
Ecallantide	23.108620530937845
Ipilimumab	22.80142145803273
Simvastatin	22.667663784967335
Ivacaftor	22.594363861619545
Diltiazem	22.41954720984831
Lercanidipine	22.41954720984831
Pravastatin	22.371359316817507
Fluvastatin	22.371359316817507
Pitavastatin	22.371359316817507
Rosuvastatin	22.371359316817507
Sorafenib	22.281656956323193
Aprindine	21.812465003331837
Anakinra	21.736616842424468
Perampanel	21.700025775893284
Cilostazol	21.6652065327053
Anagrelide	21.6652065327053
Milrinone	21.6652065327053
Enoximone	21.6652065327053
Tolazamide	21.645098525886848
Quinidine barbiturate	21.644551249019244
Methyl aminolevulinate	21.61201038963881
Rasagiline	21.597228157965024
Oxcarbazepine	21.587514497636928
Moricizine	21.587514497636928
Ajmaline	21.587514497636928
Encainide	21.587514497636928
Fosphenytoin	21.587514497636928
Prilocaine	21.587514497636928
Ethotoin	21.587514497636928
Benzonatate	21.587514497636928
Indecainide	21.587514497636928
Tocainide	21.587514497636928
Carbamazepine	21.587514497636928
Armodafinil	21.55887872504286
Fencamfamine	21.55887872504286
Porfimer	21.53139158943358
Diphenylpyraline	21.4417200983592
Triprolidine	21.324561471675548
Methdilazine	21.324561471675548
Carbinoxamine	21.324561471675548
Loratadine	21.324561471675548
Pheniramine	21.324561471675548
Fexofenadine	21.324561471675548
Antazoline	21.324561471675548
Chloropyramine	21.324561471675548
Levocetirizine	21.324561471675548
Bromodiphenhydramine	21.324561471675548
Azatadine	21.324561471675548
Mepyramine	21.324561471675548
Azelastine	21.324561471675548
Mequitazine	21.324561471675548
Chlorcyclizine	21.324561471675548
Desloratadine	21.324561471675548
Clofedanol	21.324561471675548
Alimemazine	21.324561471675548
Phenindamine	21.324561471675548
Alcaftadine	21.324561471675548
Isothipendyl	21.324561471675548
Dexbrompheniramine	21.324561471675548
Diphenhydramine	21.324561471675548
Dimenhydrinate	21.324561471675548
Hydroxyzine	21.324561471675548
Tripelennamine	21.324561471675548
Cetirizine	21.324561471675548
Bepotastine	21.324561471675548
Emedastine	21.324561471675548
Betahistine	21.324561471675548
Aceprometazine	21.324561471675548
Meclizine	21.324561471675548
Clemastine	21.324561471675548
Chenodeoxycholic acid	21.315104409408427
